ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
114395,Old Brick Inn - Tesla Destination,public,Tesla Destination,2022-10-06,2017-10-12,,,2.0,401 S Talbot St,St. Michaels,MD,21663,38.7838128,-76.2234717,Free,J1772
114396,St. Michaels Winery - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-18,,,1.0,609 S. Talbot St,St. Michaels,MD,21663,38.781182,-76.221799,Free,TESLA
114397,Antrim 1844 Country House Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-04-23,,,2.0,30 Trevanion Rd,Taneytown,MD,21787,39.654916,-77.1730675,Free,J1772
114398,Best Western Westminster - Tesla Destination,public,Tesla Destination,2022-10-06,2017-12-18,,,2.0,451 WMC Dr,Westminster,MD,21158,39.58717,-77.010051,Free,J1772
115911,The Martha Washington Inn & Spa - Tesla Destination,public,Tesla Destination,2022-10-06,2016-01-26,,,1.0,150 W Main St,Abingdon,VA,24210,36.709813,-81.974954,Free,TESLA
115912,Afton Mountain Bed & Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-05,,,1.0,10273 Rockfish Valley Hwy,Afton,VA,22920,37.9827904,-78.8400318,Free,TESLA
115913,Kimpton Morrison House - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-12,,,2.0,116 S Alfred St,Alexandria,VA,22314,38.804636,-77.049262,Free,J1772
115914,Kimpton Lorien Hotel & Spa - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-16,,,2.0,1600 King St,Alexandria,VA,22314,38.806049,-77.056808,Free,J1772
115915,Hilton Alexandria Old Town - Tesla Destination,public,Tesla Destination,2022-10-06,2016-12-13,,,2.0,1767 King St,Alexandria,VA,22314,38.807129,-77.059363,Free,TESLA
115916,"The Alexandrian, Autograph Collection - Tesla Destination",public,Tesla Destination,2022-10-06,2015-11-11,,,2.0,480 King St,Alexandria,VA,22314,38.804411,-77.044697,Free,J1772
115917,Sheraton Suites Old Town Alexandria - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-16,,,5.0,801 N St Asaph St,Alexandria,VA,22314,38.813023,-77.043613,Free,J1772
115918,E&S Mart's Two Sisters Tap Room and Deli - Tesla Destination,public,Tesla Destination,2022-10-06,2017-04-10,,,4.0,2181 Lynch Mill Rd,Altavista,VA,24517,37.131313,-79.283927,Free,J1772
115919,The Ritz-Carlton Pentagon City - Tesla Destination,public,Tesla Destination,2022-10-06,2015-10-19,,,3.0,1250 S Hayes St,Arlington,VA,22202,38.862637,-77.060346,Free,J1772
115920,2311 Wilson Blvd - Tesla Destination,public,Tesla Destination,2022-10-06,2018-03-13,,,5.0,2311 Wilson Blvd,Arlington,VA,22201,38.8911312,-77.0868397,Free,J1772
